19,9,491,0,1.0,0.0,25,0.17,0
41,9,146,0,0.08,0.15,1,0.0,0
46,5,0,0,0.05,0.07,26,0.1,1
22,9,232,8153,1.0,0.0,255,1.0,0
22,9,199,420,1.0,0.0,255,1.0,0
46,1,0,0,0.16,0.06,19,0.07,1
46,5,0,0,0.05,0.06,9,0.04,1
46,5,0,0,0.14,0.06,15,0.06,1
48,5,0,0,0.09,0.05,23,0.09,1
46,5,0,0,0.06,0.06,13,0.05,1
46,1,0,0,0.06,0.06,12,0.05,1
46,5,0,0,0.02,0.06,13,0.05,1
22,9,287,2251,1.0,0.0,219,1.0,0
19,9,334,0,1.0,0.0,20,1.0,1
33,5,0,0,0.0,0.06,1,0.0,1
35,5,0,0,0.17,0.05,2,0.01,1
22,9,300,13788,1.0,0.0,255,1.0,0
13,9,18,0,1.0,0.0,16,1.0,1
22,9,233,616,1.0,0.0,255,1.0,0
22,9,343,1178,1.0,0.0,255,1.0,0
32,5,0,0,0.1,0.05,23,0.09,1
46,5,0,0,0.06,0.05,17,0.07,1
22,9,253,11905,1.0,0.0,255,1.0,0
41,9,147,105,1.0,0.0,1,0.0,0
32,5,0,0,0.01,0.06,2,0.01,1
57,9,437,14421,1.0,0.0,25,0.1,0
46,5,0,0,0.03,0.06,13,0.05,1
22,9,227,6588,1.0,0.0,255,1.0,0
22,9,215,10499,1.0,0.0,255,1.0,0
22,9,241,1400,1.0,0.0,255,1.0,0
13,9,8,0,1.0,0.0,53,1.0,1
17,5,0,0,0.28,0.07,59,0.23,1
22,9,303,555,1.0,0.0,255,1.0,0
46,1,0,0,0.5,1.0,1,0.0,1
11,9,45,45,1.0,0.0,250,0.98,0
46,9,105,147,1.0,0.0,5,0.12,0
11,9,43,43,1.0,0.0,255,1.0,0
55,5,0,0,0.08,0.06,17,0.07,1
22,9,324,2302,1.0,0.0,255,1.0,0
63,5,0,0,0.06,0.07,13,0.05,1
19,5,0,0,0.22,0.08,63,0.25,1
2,5,0,0,0.05,0.06,9,0.04,1
51,9,1591,372,1.0,0.0,147,0.81,0
41,9,146,105,0.5,0.5,2,0.01,0
22,9,290,3006,1.0,0.0,255,1.0,0
6,5,0,0,0.1,0.08,11,0.04,1
46,9,28,0,1.0,0.0,80,0.31,1
22,9,255,861,1.0,0.0,255,1.0,0
19,9,334,0,1.0,0.0,38,1.0,1
19,5,0,0,0.07,0.05,5,0.02,1
22,9,302,498,1.0,0.0,255,1.0,0
46,1,0,0,0.07,0.1,4,0.02,1
46,9,28,0,1.0,0.0,2,0.01,1
22,9,220,1398,1.0,0.0,255,1.0,0
11,9,43,69,1.0,0.0,245,0.96,0
11,9,44,133,1.0,0.0,212,0.88,0
13,9,8,0,1.0,0.0,46,1.0,1
62,5,0,0,0.07,0.06,11,0.04,1
17,5,0,0,0.5,0.08,59,0.23,1
11,9,43,43,1.0,0.0,255,1.0,0
19,9,641,0,1.0,0.0,48,0.25,0
46,1,0,0,0.02,0.06,4,0.02,1
46,1,0,0,0.01,1.0,1,0.0,1
22,9,310,2794,1.0,0.0,255,1.0,0
46,1,0,0,0.16,0.08,10,0.04,1
51,9,696,333,1.0,0.0,133,0.39,0
34,4,0,0,1.0,0.0,1,0.0,1
