19,9,491,0,2,1.0,0.0,0.03,normal
41,9,146,0,13,0.08,0.15,0.6,normal
46,5,0,0,123,0.05,0.07,0.05,dos
22,9,232,8153,5,1.0,0.0,0.0,normal
22,9,199,420,30,1.0,0.0,0.0,normal
46,1,0,0,121,0.16,0.06,0.07,dos
46,5,0,0,166,0.05,0.06,0.05,dos
46,5,0,0,117,0.14,0.06,0.07,dos
48,5,0,0,270,0.09,0.05,0.05,dos
46,5,0,0,133,0.06,0.06,0.06,dos
46,1,0,0,205,0.06,0.06,0.07,dos
46,5,0,0,199,0.02,0.06,0.07,dos
22,9,287,2251,3,1.0,0.0,0.0,normal
19,9,334,0,2,1.0,0.0,0.0,r2l
33,5,0,0,233,0.0,0.06,0.07,dos
35,5,0,0,96,0.17,0.05,0.06,dos
22,9,300,13788,8,1.0,0.0,0.0,normal
13,9,18,0,1,1.0,0.0,0.0,probe
22,9,233,616,3,1.0,0.0,0.0,normal
22,9,343,1178,9,1.0,0.0,0.0,normal
32,5,0,0,223,0.1,0.05,0.05,dos
46,5,0,0,280,0.06,0.05,0.06,dos
22,9,253,11905,8,1.0,0.0,0.0,normal
41,9,147,105,1,1.0,0.0,0.85,normal
32,5,0,0,248,0.01,0.06,0.06,dos
57,9,437,14421,1,1.0,0.0,0.05,normal
46,5,0,0,279,0.03,0.06,0.07,dos
22,9,227,6588,5,1.0,0.0,0.0,normal
22,9,215,10499,14,1.0,0.0,0.0,normal
22,9,241,1400,33,1.0,0.0,0.0,normal
13,9,8,0,1,1.0,0.0,0.0,probe
17,5,0,0,57,0.28,0.07,0.04,dos
22,9,303,555,9,1.0,0.0,0.0,normal
46,1,0,0,2,0.5,1.0,0.31,probe
11,9,45,45,181,1.0,0.0,0.01,normal
46,9,105,147,2,1.0,0.0,0.05,normal
11,9,43,43,122,1.0,0.0,0.0,normal
55,5,0,0,205,0.08,0.06,0.07,dos
22,9,324,2302,22,1.0,0.0,0.0,normal
63,5,0,0,228,0.06,0.07,0.07,dos
19,5,0,0,50,0.22,0.08,0.02,dos
2,5,0,0,262,0.05,0.06,0.07,dos
51,9,1591,372,1,1.0,0.0,0.02,normal
41,9,146,105,4,0.5,0.5,0.66,normal
22,9,290,3006,11,1.0,0.0,0.0,normal
6,5,0,0,108,0.1,0.08,0.07,dos
46,9,28,0,80,1.0,0.0,0.02,dos
22,9,255,861,44,1.0,0.0,0.0,normal
19,9,334,0,2,1.0,0.0,0.0,r2l
19,5,0,0,258,0.07,0.05,0.07,dos
22,9,302,498,10,1.0,0.0,0.0,normal
46,1,0,0,61,0.07,0.1,0.08,dos
46,9,28,0,2,1.0,0.0,0.02,dos
22,9,220,1398,26,1.0,0.0,0.0,normal
11,9,43,69,120,1.0,0.0,0.01,normal
11,9,44,133,73,1.0,0.0,0.02,normal
13,9,8,0,1,1.0,0.0,0.0,probe
62,5,0,0,135,0.07,0.06,0.07,dos
17,5,0,0,24,0.5,0.08,0.04,dos
11,9,43,43,148,1.0,0.0,0.0,normal
19,9,641,0,2,1.0,0.0,0.02,normal
46,1,0,0,206,0.02,0.06,0.08,dos
46,1,0,0,175,0.01,1.0,0.84,probe
22,9,310,2794,4,1.0,0.0,0.0,normal
46,1,0,0,63,0.16,0.08,0.07,dos
51,9,696,333,1,1.0,0.0,0.04,normal
34,4,0,0,1,1.0,0.0,0.58,probe
22,5,0,0,52,0.37,0.08,0.02,dos
34,1,0,0,125,0.06,0.06,0.07,dos
55,5,0,0,168,0.12,0.06,0.06,dos
22,9,221,2878,1,1.0,0.0,0.0,normal
46,5,0,0,145,0.11,0.06,0.05,dos
61,9,181,0,3,0.67,0.67,0.01,normal
11,9,42,42,9,1.0,0.0,0.02,normal
46,5,0,0,138,0.04,0.06,0.07,dos
19,9,12,0,1,1.0,0.0,0.07,normal
3,5,0,0,276,0.03,0.06,0.06,dos
22,9,210,2790,10,1.0,0.0,0.0,normal
22,9,321,5683,10,1.0,0.0,0.0,normal
